0,1,2,3,4,5,6,7,8,9,10,11,12,13
Bush Poppy (Dendromecon rigida),Bush Poppy (Dendromecon rigida),Bush Poppy (Dendromecon rigida),Bush Poppy (Dendromecon rigida),Bush Poppy (Dendromecon rigida),Bush Poppy (Dendromecon rigida),Bush Poppy (Dendromecon rigida),Shrub,"3 - 10 ft tall
2 - 8 ft wide",Rounded,"Fast, Moderate",Evergreen,Slight,Yellow
Bush Sunflower (Encelia californica),Bush Sunflower (Encelia californica),Bush Sunflower (Encelia californica),Bush Sunflower (Encelia californica),Bush Sunflower (Encelia californica),Bush Sunflower (Encelia californica),Bush Sunflower (Encelia californica),Shrub,"1.6 - 5 ft tall
3 - 7 ft wide","Mounding, Rounded",Fast,"Summer Semi-Deciduous,","Fragrant - Pleasant, Slight","Brown, Purple, Yellow"
Sea Cliff Buckwheat (Eriogonum parvifolium),Sea Cliff Buckwheat (Eriogonum parvifolium),Sea Cliff Buckwheat (Eriogonum parvifolium),Sea Cliff Buckwheat (Eriogonum parvifolium),Sea Cliff Buckwheat (Eriogonum parvifolium),Sea Cliff Buckwheat (Eriogonum parvifolium),Sea Cliff Buckwheat (Eriogonum parvifolium),Shrub,"1 - 3.3 ft tall
2 - 3 ft wide","Mounding, Spreading",Moderate,Evergreen,Slight,"Pink, Red, White, Yellow, Green"
Purple Sage (Salvia leucophylla),Purple Sage (Salvia leucophylla),Purple Sage (Salvia leucophylla),Purple Sage (Salvia leucophylla),Purple Sage (Salvia leucophylla),Purple Sage (Salvia leucophylla),Purple Sage (Salvia leucophylla),Shrub,"2 - 5 ft tall
3 - 10 ft wide","Mounding, Rounded, Spreading",Fast,"Evergreen, Summer Semi-Deciduous",Fragrant - Pleasant,"Purple, Lavender, Pink"
California poppy (Eschscholzia californica),California poppy (Eschscholzia californica),California poppy (Eschscholzia californica),California poppy (Eschscholzia californica),California poppy (Eschscholzia californica),California poppy (Eschscholzia californica),California poppy (Eschscholzia californica),"Annual herb, Perennial herb","0.16 - 2 ft tall
1 - 2 ft wide","Upright, Mounding, Rounded","Fast, Moderate",Summer Deciduous,Slight,"Orange, Yellow"
California Sagebrush (Artemisia californica),California Sagebrush (Artemisia californica),California Sagebrush (Artemisia californica),California Sagebrush (Artemisia californica),California Sagebrush (Artemisia californica),California Sagebrush (Artemisia californica),California Sagebrush (Artemisia californica),Shrub,"1 - 8 ft tall
4 ft wide","Mounding, Rounded, Spreading",Fast,Summer Deciduous,Fragrant - Pleasant,"Cream, White, Yellow"
California Wildrose (Rosa californica),California Wildrose (Rosa californica),California Wildrose (Rosa californica),California Wildrose (Rosa californica),California Wildrose (Rosa californica),California Wildrose (Rosa californica),California Wildrose (Rosa californica),Shrub,"8 - 10 ft tall
10 ft wide","Rounded, Mounding, Spreading","Moderate, Fast",Winter Deciduous,Fragrant - Pleasant,"Red, Pink, White"
Golden Yarrow (Eriophyllum confertiflorum),Golden Yarrow (Eriophyllum confertiflorum),Golden Yarrow (Eriophyllum confertiflorum),Golden Yarrow (Eriophyllum confertiflorum),Golden Yarrow (Eriophyllum confertiflorum),Golden Yarrow (Eriophyllum confertiflorum),Golden Yarrow (Eriophyllum confertiflorum),"Annual herb, Perennial herb, Shrub","1.6 - 2.3 ft tall
1.5 ft wide",Upright Columnar,Moderate,"Summer Semi-Deciduous, Winter Deciduous",Yellow,"Winter, Spring, Summer"
Purple Needlegrass (Stipa pulchra),Purple Needlegrass (Stipa pulchra),Purple Needlegrass (Stipa pulchra),Purple Needlegrass (Stipa pulchra),Purple Needlegrass (Stipa pulchra),Purple Needlegrass (Stipa pulchra),Purple Needlegrass (Stipa pulchra),Grass,"3.3 ft tall
1.5 ft wide",Fountain,"Moderate, Slow",Evergreen,None,"Cream, Green, Purple, Red"
Common Yarrow (Achillea millefolium),Common Yarrow (Achillea millefolium),Common Yarrow (Achillea millefolium),Common Yarrow (Achillea millefolium),Common Yarrow (Achillea millefolium),Common Yarrow (Achillea millefolium),Common Yarrow (Achillea millefolium),Perennial herb,"1 - 3 ft tall
.5 - 1.5 ft wide","Upright, Spreading","Fast, Moderate","Evergreen, Summer Deciduous, Summer Semi-Deciduous",Fragrant - Pleasant,"White, Yellow"
Hollyleaf Cherry (Prunus ilicifolia),Hollyleaf Cherry (Prunus ilicifolia),Hollyleaf Cherry (Prunus ilicifolia),Hollyleaf Cherry (Prunus ilicifolia),Hollyleaf Cherry (Prunus ilicifolia),Hollyleaf Cherry (Prunus ilicifolia),Hollyleaf Cherry (Prunus ilicifolia),Tree,"30 - 49.2 ft tall
20 ft wide","Rounded, Upright Columnar","Fast, Moderate",Evergreen,"Cream, White","Winter, Spring"
Arroyo Willow (Salix lasiolepis),Arroyo Willow (Salix lasiolepis),Arroyo Willow (Salix lasiolepis),Arroyo Willow (Salix lasiolepis),Arroyo Willow (Salix lasiolepis),Arroyo Willow (Salix lasiolepis),Arroyo Willow (Salix lasiolepis),"Tree, Shrub","7 - 35 ft tall
15 ft wide","Upright, Rounded, Upright Columnar","Fast, Moderate",Winter Deciduous,"Cream, Yellow","Winter, Spring"
Seep Monkey Flower (Erythranthe guttata),Seep Monkey Flower (Erythranthe guttata),Seep Monkey Flower (Erythranthe guttata),Seep Monkey Flower (Erythranthe guttata),Seep Monkey Flower (Erythranthe guttata),Seep Monkey Flower (Erythranthe guttata),Seep Monkey Flower (Erythranthe guttata),"Annual herb, Perennial herb","2 - 5 ft tall
0.6 ft wide",Upright,Fast,Winter Deciduous,None,Yellow
Wild Cucumber (Marah fabacea),Wild Cucumber (Marah fabacea),Wild Cucumber (Marah fabacea),Wild Cucumber (Marah fabacea),Wild Cucumber (Marah fabacea),Wild Cucumber (Marah fabacea),Wild Cucumber (Marah fabacea),"Vine, Perennial herb",18 ft tall,"Fast, Moderate",Summer Semi-Deciduous,"Orange, White, Yellow",Spring,
Low Barley (Hordeum depressum),Low Barley (Hordeum depressum),Low Barley (Hordeum depressum),Low Barley (Hordeum depressum),Low Barley (Hordeum depressum),Low Barley (Hordeum depressum),Low Barley (Hordeum depressum),Grasses,1.8 ft tall,Brwon,,"*
White-lined Sphinx
Hyles lineata

*
Alfalfa Looper Moth
Autographa californica

*
Venerable Dart
Agrotis venerabilis

*
Armyworm Moth
Mythimna unipuncta

*
Bilobed Looper Moth
Megalographa biloba

*
Glassy Borer
Apamea devastator","White-lined Sphinx
Hyles lineata","Alfalfa Looper Moth
Autographa californica"
Dwarf Brodiaea (Brodiaea jolonensis),Dwarf Brodiaea (Brodiaea jolonensis),Dwarf Brodiaea (Brodiaea jolonensis),Dwarf Brodiaea (Brodiaea jolonensis),Dwarf Brodiaea (Brodiaea jolonensis),Dwarf Brodiaea (Brodiaea jolonensis),Dwarf Brodiaea (Brodiaea jolonensis),Perennial herb,6 in tall,"Blue, Lavender, Purple",Spring,,"*
White-lined Sphinx
Hyles lineata","White-lined Sphinx
Hyles lineata"
Monterey Cypress (Hesperocyparis macrocarpa),Monterey Cypress (Hesperocyparis macrocarpa),Monterey Cypress (Hesperocyparis macrocarpa),Monterey Cypress (Hesperocyparis macrocarpa),Monterey Cypress (Hesperocyparis macrocarpa),Monterey Cypress (Hesperocyparis macrocarpa),Monterey Cypress (Hesperocyparis macrocarpa),Tree,59.1 - 82 ft tall,,"*
White-lined Sphinx
Hyles lineata","White-lined Sphinx
Hyles lineata","Full Sun, Part Shade",Carried by 9
Beach Morning Glory (Calystegia soldanella),Beach Morning Glory (Calystegia soldanella),Beach Morning Glory (Calystegia soldanella),Beach Morning Glory (Calystegia soldanella),Beach Morning Glory (Calystegia soldanella),Beach Morning Glory (Calystegia soldanella),Beach Morning Glory (Calystegia soldanella),"Perennial herb, Vine","3 - 4 in tall
2 - 3 ft wide",Spreading,Evergreen,"White, Pink, Lavender","Spring, Summer, Fall",
Tomcat Clover (Trifolium willdenovii),Tomcat Clover (Trifolium willdenovii),Tomcat Clover (Trifolium willdenovii),Tomcat Clover (Trifolium willdenovii),Tomcat Clover (Trifolium willdenovii),Tomcat Clover (Trifolium willdenovii),Tomcat Clover (Trifolium willdenovii),Annual herb,Lavender,Spring,,"*
Gray Hairstreak
Strymon melinus

*
Orange Sulphur
Colias eurytheme

*
Southern Dogface
Zerene cesonia

*
Shasta Blue
Icaricia shasta

*
Greenish Blue
Icaricia saepiolus

*
Persius Duskywing
Erynnis persius","Gray Hairstreak
Strymon melinus","Orange Sulphur
Colias eurytheme"
Coast Morning Glory (Calystegia macrostegia ssp. cyclostegia),Coast Morning Glory (Calystegia macrostegia ssp. cyclostegia),Coast Morning Glory (Calystegia macrostegia ssp. cyclostegia),Coast Morning Glory (Calystegia macrostegia ssp. cyclostegia),Coast Morning Glory (Calystegia macrostegia ssp. cyclostegia),Coast Morning Glory (Calystegia macrostegia ssp. cyclostegia),Coast Morning Glory (Calystegia macrostegia ssp. cyclostegia),"Perennial herb, Shrub, Vine",White,"Winter, Spring, Summer",,"*
White-lined Sphinx
Hyles lineata

*
Morning-glory Plume Moth
Emmelina monodactyla

*
Yellowstriped Armyworm Moth
Spodoptera ornithogalli

*
Orange Tortrix Moth
Argyrotaenia franciscana","White-lined Sphinx
Hyles lineata","Morning-glory Plume Moth
Emmelina monodactyla"
California Fuchsia (Epilobium canum ssp. canum),California Fuchsia (Epilobium canum ssp. canum),California Fuchsia (Epilobium canum ssp. canum),California Fuchsia (Epilobium canum ssp. canum),California Fuchsia (Epilobium canum ssp. canum),California Fuchsia (Epilobium canum ssp. canum),California Fuchsia (Epilobium canum ssp. canum),Perennial herb,3 ft tall,Red,"Summer, Fall",,"*
White-lined Sphinx
Hyles lineata

*
Black-Banded Carpet
Antepirrhoe semiatrata

*
Elegant Aristotelia Moth
Aristotelia elegantella

*
Ornate Moth
Utetheisa ornatrix

*
Clark's Day Sphinx Moth
Proserpinus clarkiae

*
Double-Banded Carpet
Spargania magnoliata","White-lined Sphinx
Hyles lineata"
Pacific Potentilla (Potentilla anserina ssp. pacifica),Pacific Potentilla (Potentilla anserina ssp. pacifica),Pacific Potentilla (Potentilla anserina ssp. pacifica),Pacific Potentilla (Potentilla anserina ssp. pacifica),Pacific Potentilla (Potentilla anserina ssp. pacifica),Pacific Potentilla (Potentilla anserina ssp. pacifica),Pacific Potentilla (Potentilla anserina ssp. pacifica),Perennial herb,Yellow,Spring,,"*
Edith's Copper
Lycaena editha

*
Two-banded Checkered-Skipper
Pyrgus ruralis

*
Purplish Copper
Lycaena helloides

*
White-lined Sphinx
Hyles lineata

*
Elegant Sheepmoth
Hemileuca eglanterina

*
Sulphur Moth
Hesperumia sulphuraria","Edith's Copper
Lycaena editha","Two-banded Checkered-Skipper
Pyrgus ruralis"
Bitter Gooseberry (Ribes amarum),Bitter Gooseberry (Ribes amarum),Bitter Gooseberry (Ribes amarum),Bitter Gooseberry (Ribes amarum),Bitter Gooseberry (Ribes amarum),Bitter Gooseberry (Ribes amarum),Bitter Gooseberry (Ribes amarum),Shrub,3.3 - 6.6 ft tall,Winter Deciduous,"Red, White, Pink, Purple",Spring,,"*
Hoary Comma
Polygonia gracilis

*
Milbert's Tortoiseshell
Aglais milberti

*
Satyr Comma
Polygonia satyrus

*
Green Comma
Polygonia faunus

*
Tailed Copper
Lycaena arota

*
Oreas Comma
Polygonia oreas"
Douglas' Nightshade (Solanum douglasii),Douglas' Nightshade (Solanum douglasii),Douglas' Nightshade (Solanum douglasii),Douglas' Nightshade (Solanum douglasii),Douglas' Nightshade (Solanum douglasii),Douglas' Nightshade (Solanum douglasii),Douglas' Nightshade (Solanum douglasii),Perennial herb,3.5 - 7 ft tall,"White, Lavender","Winter, Spring, Summer, Fall",,"*
White-lined Sphinx
Hyles lineata

*
Alfalfa Looper Moth
Autographa californica

*
Carolina Sphinx
Manduca sexta

*
Armyworm Moth
Mythimna unipuncta

*
Subterranean Dart
Feltia subterranea

*
Isabella Tiger Moth
Pyrrharctia isabella","White-lined Sphinx
Hyles lineata"
Parish's Pickleweed (Arthrocnemum subterminale),Parish's Pickleweed (Arthrocnemum subterminale),Parish's Pickleweed (Arthrocnemum subterminale),Parish's Pickleweed (Arthrocnemum subterminale),Parish's Pickleweed (Arthrocnemum subterminale),Parish's Pickleweed (Arthrocnemum subterminale),Parish's Pickleweed (Arthrocnemum subterminale),Perennial herb,0.33 - 1 ft tall,,"*
White-lined Sphinx
Hyles lineata","White-lined Sphinx
Hyles lineata",Full Sun,Moderate - High
Pinpoint Clover (Trifolium gracilentum),Pinpoint Clover (Trifolium gracilentum),Pinpoint Clover (Trifolium gracilentum),Pinpoint Clover (Trifolium gracilentum),Pinpoint Clover (Trifolium gracilentum),Pinpoint Clover (Trifolium gracilentum),Pinpoint Clover (Trifolium gracilentum),Annual herb,"Purple, Pink",Spring,,"*
Gray Hairstreak
Strymon melinus

*
Orange Sulphur
Colias eurytheme

*
Southern Dogface
Zerene cesonia

*
Shasta Blue
Icaricia shasta

*
Greenish Blue
Icaricia saepiolus

*
Persius Duskywing
Erynnis persius","Gray Hairstreak
Strymon melinus","Orange Sulphur
Colias eurytheme"
Seablite (Suaeda taxifolia),Seablite (Suaeda taxifolia),Seablite (Suaeda taxifolia),Seablite (Suaeda taxifolia),Seablite (Suaeda taxifolia),Seablite (Suaeda taxifolia),Seablite (Suaeda taxifolia),Shrub,5 ft tall,"Yellow, Red",,"*
Western Pygmy Blue
Brephidium exilis

*
White-lined Sphinx
Hyles lineata","Western Pygmy Blue
Brephidium exilis","White-lined Sphinx
Hyles lineata"
Meadow Barley (Hordeum brachyantherum ssp. brachyantherum),Meadow Barley (Hordeum brachyantherum ssp. brachyantherum),Meadow Barley (Hordeum brachyantherum ssp. brachyantherum),Meadow Barley (Hordeum brachyantherum ssp. brachyantherum),Meadow Barley (Hordeum brachyantherum ssp. brachyantherum),Meadow Barley (Hordeum brachyantherum ssp. brachyantherum),Meadow Barley (Hordeum brachyantherum ssp. brachyantherum),Grasses,3 ft tall,Brown,,"*
White-lined Sphinx
Hyles lineata

*
Alfalfa Looper Moth
Autographa californica

*
Venerable Dart
Agrotis venerabilis

*
Armyworm Moth
Mythimna unipuncta

*
Bilobed Looper Moth
Megalographa biloba

*
Bronzed Cutworm
Nephelodes minians","White-lined Sphinx
Hyles lineata","Alfalfa Looper Moth
Autographa californica"
Willow Dock (Rumex salicifolius),Willow Dock (Rumex salicifolius),Willow Dock (Rumex salicifolius),Willow Dock (Rumex salicifolius),Willow Dock (Rumex salicifolius),Willow Dock (Rumex salicifolius),Willow Dock (Rumex salicifolius),Perennial Herb,1 - 3 ft tall,,"Gray Hairstreak
Strymon melinus

Purplish Copper
Lycaena helloides

Ruddy Copper
Lycaena rubidus

Great Copper
Lycaena xanthoides

*
Edith's Copper
Lycaena editha

*
American Copper
Lycaena phlaeas","Gray Hairstreak
Strymon melinus","Purplish Copper
Lycaena helloides","Ruddy Copper
Lycaena rubidus"
Brownhead Rush (Juncus phaeocephalus),Brownhead Rush (Juncus phaeocephalus),Brownhead Rush (Juncus phaeocephalus),Brownhead Rush (Juncus phaeocephalus),Brownhead Rush (Juncus phaeocephalus),Brownhead Rush (Juncus phaeocephalus),Brownhead Rush (Juncus phaeocephalus),Grasses,0.8 - 1.6 ft tall,Brown,,"*
White-lined Sphinx
Hyles lineata

*
Red Swordgrass Moth
Xylena nupera

*
Yellow-Collared Scape Moth
Cisseps fulvicollis

*
Javelin Moth
Bactra verutana

*
Mottled Marble
Bactra furfurana

*
Thopeutis forbesellus","White-lined Sphinx
Hyles lineata","Red Swordgrass Moth
Xylena nupera"
Southern Cattail (Typha domingensis),Southern Cattail (Typha domingensis),Southern Cattail (Typha domingensis),Southern Cattail (Typha domingensis),Southern Cattail (Typha domingensis),Southern Cattail (Typha domingensis),Southern Cattail (Typha domingensis),Perennial herb,13 ft tall,,"*
White-lined Sphinx
Hyles lineata

*
Verbena Bud Moth
Endothenia hebesana

*
Oblong Sedge Borer Moth
Capsula oblonga

*
Oblique-Banded Leafroller Moth
Choristoneura rosaceana

*
Cattail Border Moth
Bellura obliqua

*
Bactra maiorina","White-lined Sphinx
Hyles lineata","Verbena Bud Moth
Endothenia hebesana","Oblong Sedge Borer Moth
Capsula oblonga"
Estuary Seablite (Suaeda esteroa),Estuary Seablite (Suaeda esteroa),Estuary Seablite (Suaeda esteroa),Estuary Seablite (Suaeda esteroa),Estuary Seablite (Suaeda esteroa),Estuary Seablite (Suaeda esteroa),Estuary Seablite (Suaeda esteroa),Perennial herb,0.33 - 2 ft tall,,"*
Western Pygmy Blue
Brephidium exilis

*
White-lined Sphinx
Hyles lineata","Western Pygmy Blue
Brephidium exilis","White-lined Sphinx
Hyles lineata",Moderate - High
Shore Grass (Distichlis littoralis),Shore Grass (Distichlis littoralis),Shore Grass (Distichlis littoralis),Shore Grass (Distichlis littoralis),Shore Grass (Distichlis littoralis),Shore Grass (Distichlis littoralis),Shore Grass (Distichlis littoralis),Grasses,Brown,,"*
Sandhill Skipper
Polites sabuleti

*
Wandering Skipper
Panoquina errans

*
Sachem
Atalopedes campestris

*
White-lined Sphinx
Hyles lineata

*
Armyworm Moth
Mythimna unipuncta","Sandhill Skipper
Polites sabuleti","Wandering Skipper
Panoquina errans","Sachem
Atalopedes campestris"
Coyote Brush (Baccharis pilularis ssp. consanguinea),Coyote Brush (Baccharis pilularis ssp. consanguinea),Coyote Brush (Baccharis pilularis ssp. consanguinea),Coyote Brush (Baccharis pilularis ssp. consanguinea),Coyote Brush (Baccharis pilularis ssp. consanguinea),Coyote Brush (Baccharis pilularis ssp. consanguinea),Coyote Brush (Baccharis pilularis ssp. consanguinea),Shrub,3.5 - 7 ft tall,Evergreen,"Cream, White",,"*
Gabb's Checkerspot
Chlosyne gabbii

*
Fatal Metalmark
Calephelis nemesis

*
White-lined Sphinx
Hyles lineata

*
Coyote Brush Gall Moth
Gnorimoschema baccharisella

*
Salt Marsh Moth or Acrea Moth
Estigmene acrea

*
Common Gray
Anavitrinella pampinaria","Gabb's Checkerspot
Chlosyne gabbii"
Bush Monkey Flower (Mimulus aurantiacus var. aurantiacus),Bush Monkey Flower (Mimulus aurantiacus var. aurantiacus),Bush Monkey Flower (Mimulus aurantiacus var. aurantiacus),Bush Monkey Flower (Mimulus aurantiacus var. aurantiacus),Bush Monkey Flower (Mimulus aurantiacus var. aurantiacus),Bush Monkey Flower (Mimulus aurantiacus var. aurantiacus),Bush Monkey Flower (Mimulus aurantiacus var. aurantiacus),Shrub,0.33 - 4.9 ft tall,"Yellow, Cream",,"*
Common Buckeye
Junonia coenia

*
Variable Checkerspot
Euphydryas chalcedona

*
Mylitta Crescent
Phyciodes mylitta

*
Edith's Checkerspot
Euphydryas editha

*
White-lined Sphinx
Hyles lineata

*
Bilobed Looper Moth
Megalographa biloba","Common Buckeye
Junonia coenia","Variable Checkerspot
Euphydryas chalcedona"
Early Harvest Brodiaea (Brodiaea coronaria),Early Harvest Brodiaea (Brodiaea coronaria),Early Harvest Brodiaea (Brodiaea coronaria),Early Harvest Brodiaea (Brodiaea coronaria),Early Harvest Brodiaea (Brodiaea coronaria),Early Harvest Brodiaea (Brodiaea coronaria),Early Harvest Brodiaea (Brodiaea coronaria),Perennial herb,9.8 in tall,"Blue, Lavender, Purple",Spring,,"*
White-lined Sphinx
Hyles lineata","White-lined Sphinx
Hyles lineata"
