SearchResults
Search type: State,,,,
California,,,,
Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,FIPS Code
DRBRC,DRLA2,Draba lanceolata auct. non Royle,,US06
DRCA5,,Draba californica (Jeps.) Rollins & R.A. Price,California draba,US06
DRCA5,DRCUC2,Draba cuneifolia Nutt. ex Torr. & A. Gray var. californica Jeps.,,US06
DRCA6,DRHOC,Draba howellii S. Watson var. carnosula (O.E. Schulz) C.L. Hitchc.,,US06
DRCA6,,Draba carnosula O.E. Schulz,Mt. Eddy draba,US06
DRCO,,Draba corrugata S. Watson,Southern California draba,US06
DRCOC,,Draba corrugata S. Watson var. corrugata,Southern California draba,US06
DRCOS,,Draba corrugata S. Watson var. saxosa (Davidson) Munz & I.M. Johnst.,Southern California draba,US06
DRCR3,,Draba cruciata Payson,Mineral King draba,US06
DRCU,,Draba cuneifolia Nutt. ex Torr. & A. Gray,wedgeleaf draba,US06
DRCUC,DRCUF,Draba cuneifolia Nutt. ex Torr. & A. Gray var. foliosa Mohlenbr. & Voigt,,US06
DRCUC,DRCUH,Draba cuneifolia Nutt. ex Torr. & A. Gray var. helleri (Small) O.E. Schulz,,US06
DRCUC,,Draba cuneifolia Nutt. ex Torr. & A. Gray var. cuneifolia,wedgeleaf draba,US06
DRCUC,DRCUL,Draba cuneifolia Nutt. ex Torr. & A. Gray var. leiocarpa O.E. Schulz,,US06
DRCUC,DRCUT,Draba cuneifolia Nutt. ex Torr. & A. Gray var. typica C.L. Hitchc.,,US06
DRCUI,DRSOI,Draba sonorae Greene var. integrifolia (S. Watson) O.E. Schulz,,US06
DRCUI,,Draba cuneifolia Nutt. ex Torr. & A. Gray var. integrifolia S. Watson,wedgeleaf draba,US06
DRCUS,,Draba cuneifolia Nutt. ex Torr. & A. Gray var. sonorae (Greene) Parish,Sonora draba,US06
DRCUS,DRSO3,Draba sonorae Greene,,US06
DRDE,DRCA7,Draba caeruleomontana Payson & H. St. John,,US06
DRDE,DRSP9,Draba sphaerula J.F. Macbr. & Payson,,US06
DRDE,,Draba densifolia Nutt.,denseleaf draba,US06
DRDE,DRNE5,Draba nelsonii J.F. Macbr. & Payson,,US06
DRHO,,Draba howellii S. Watson,rosette draba,US06
DRIN8,DRLEI,Draba lemmonii S. Watson var. incrassata Rollins,,US06
DRIN8,,Draba incrassata (Rollins) Rollins & R.A. Price,sweetwater draba,US06
DRLE,,Draba lemmonii S. Watson,granite draba,US06
DRLEL,,Draba lemmonii S. Watson var. lemmonii,granite draba,US06
DRLEL,DRLO4,Draba longisquamosa O.E. Schulz,,US06
DRLO,,Draba lonchocarpa Rydb.,lancepod draba,US06
DRLOL,DRLOE,Draba lonchocarpa Rydb. var. exigua O.E. Schulz,,US06
DRLOL,DRNIL,Draba nivalis Lilj. ssp. lonchocarpa (Rydb.) Hultén,,US06
DRLOL,,Draba lonchocarpa Rydb. var. lonchocarpa,lancepod draba,US06
DRLOL,DRNIE,Draba nivalis Lilj. var. exigua (O.E. Schulz) C.L. Hitchc.,,US06
DRLOL,DRNIE2,Draba nivalis Lilj. var. elongata S. Watson,,US06
DRMO4,,Draba monoensis Rollins & R.A. Price,Mono draba,US06
DRNE,,Draba nemorosa L.,woodland draba,US06
DRNE,DRLU2,Draba lutea Gilib.,,US06
DRNE,DRNEL,Draba nemorosa L. var. leiocarpa Lindbl.,,US06
DROL,DRJU,Draba juniperina Dorn,,US06
DROL,DROLJ,Draba oligosperma Hook. var. juniperina (Dorn) S.L. Welsh,,US06
DROL,,Draba oligosperma Hook.,fewseed draba,US06
DROL,DROLS2,Draba oligosperma Hook. ssp. subsessilis (S. Watson) A.E. Murray,,US06
DROL,DROLS,Draba oligosperma Hook. var. subsessilis (S. Watson) O.E. Schulz,,US06
DROL,DROLO,Draba oligosperma Hook. var. oligosperma,,US06
DROL,DROLP,Draba oligosperma Hook. var. pectinipila (Rollins) C.L. Hitchc.,,US06
DROL,DRSU7,Draba subsessilis S. Watson,,US06
DROL,DRPE,Draba pectinipila Rollins,,US06
DRPA,,Draba paysonii J.F. Macbr.,Payson's draba,US06
DRPAT,,Draba paysonii J.F. Macbr. var. treleasii (O.E. Schulz) C.L. Hitchc.,Trelease's draba,US06
DRPL,,Draba platycarpa Torr. & A. Gray,broadpod draba,US06
DRPL,DRCUP,Draba cuneifolia Nutt. ex Torr. & A. Gray var. platycarpa (Torr. & A. Gray) S. Watson,,US06
DRPL,DRVI2,Draba viperensis H. St. John,,US06
DRPR,DRCA9,Draba cascadensis Payson & H. St. John,,US06
DRPR,,Draba praealta Greene,tall draba,US06
DRPT,,Draba pterosperma Payson,wingedseed draba,US06
DRRE2,DRRES,Draba reptans (Lam.) Fernald var. stellifera (O.E. Schulz) C.L. Hitchc.,,US06
DRRE2,DRCA8,Draba caroliniana Walter,,US06
DRRE2,,Draba reptans (Lam.) Fernald,Carolina draba,US06
DRRE2,DRREM,Draba reptans (Lam.) Fernald var. micrantha (Nutt.) Fernald,,US06
DRRE2,DRRES2,Draba reptans (Lam.) Fernald ssp. stellifera (O.E. Schulz) Abrams,,US06
DRRE2,DRRET,Draba reptans (Lam.) Fernald var. typica C.L. Hitchc.,,US06
DRRE2,DRMI4,Draba micrantha Nutt.,,US06
DRSH,DRCRI,Draba cruciata Payson var. integrifolia C.L. Hitchc. & Sharsm.,,US06
DRSH,,Draba sharsmithii Rollins & R.A. Price,Sharsmith's draba,US06
DRSI,,Draba sierrae Sharsm.,Sierra draba,US06
DRST2,,Draba stenoloba Ledeb.,Alaska draba,US06
DRSTR,,Draba stenoloba Ledeb. var. ramosa C.L. Hitchc.,Alaska draba,US06
DRSU3,,Draba subumbellata Rollins & R.A. Price,parasol draba,US06
DRVE2,DRPR2,Draba praecox Stev.,,US06
DRVE2,,Draba verna L.,spring draba,US06
DRVE2,DRVEA,Draba verna L. var. aestivalis Lej.,,US06
DRVE2,DRVEM,Draba verna L. var. major Stur,,US06
DRVE2,ERVEP,Erophila verna (L.) Besser ssp. praecox (Stev.) S.M. Walters,,US06
DRVE2,DRVEB,Draba verna L. var. boerhaavii H.C. Hall,,US06
DRVE2,ERSP15,Erophila spathulata A.F. Lang,,US06
DRVE2,ERVE8,Erophila verna (L.) Besser,,US06
DRVE2,ERVES2,Erophila verna (L.) Besser ssp. spathulata (A.F. Lang) S.M. Walters,,US06
DRACU,,Dracunculus Mill.,dracunculus,US06
DRVU,,Dracunculus vulgaris Schott,common dracunculus,US06
DRAPE,,Draperia Torr.,draperia,US06
DRSY,,Draperia systyla (A. Gray) Torr. ex A. Gray,violet draperia,US06
DROSA,,Drosanthemum Schwant.,dewflower,US06
DRFL2,,Drosanthemum floribundum (Haw.) Schwant.,showy dewflower,US06
DRFL2,MEFL3,Mesembryanthemum floribundum Haw.,,US06
DRHI4,,Drosanthemum hispidum (L.) Schwant.,hairy dewflower,US06
DRSP5,MESP8,Mesembryanthemum speciosum Haw.,,US06
DRSP5,,Drosanthemum speciosum (Haw.) Schwant.,royal dewflower,US06
DROSE,,Drosera L.,sundew,US06
DRHY2,,Drosera ×hybrida Macfarlane (pro sp.) [filiformis × intermedia],sundew,US06
DROB,,Drosera ×obovata Mert. & W. Koch (pro sp.) [anglica × rotundifolia],sundew,US06
DRAL6,,Drosera aliciae Raym.-Hamet,Australian sundew,US06
DRAN,DRLO3,"Drosera longifolia L., nom. utique rej.",,US06
DRAN,,Drosera anglica Huds.,English sundew,US06
DRCA14,,Drosera capensis L.,Cape sundew,US06
DRRO,,Drosera rotundifolia L.,roundleaf sundew,US06
DRROR,,Drosera rotundifolia L. var. rotundifolia,roundleaf sundew,US06
DRTR4,,Drosera tracyi Macfarlane,Tracy's sundew,US06
DRTR4,DRFIT,Drosera filiformis Raf. var. tracyi (Macfarlane) Diels,,US06
DRYOP,,Dryopteris Adans.,woodfern,US06
DRAR3,,Dryopteris arguta (Kaulf.) Watt,coastal woodfern,US06
DREX2,,Dryopteris expansa (C. Presl) Fraser-Jenkins & Jermy,spreading woodfern,US06
DREX2,DRDI2,Dryopteris dilatata auct. non (Hoffm.) A. Gray,,US06
DREX2,DRAS3,Dryopteris assimilis S. Walker,,US06
DREX2,DRSPD2,Dryopteris spinulosa (O.F. Müll.) Watt var. dilatata auct. non (Hoffm.) Underw.,,US06
DREX2,DRDIA,Dryopteris dilatata (Hoffm.) A. Gray ssp. americana (Fisch.) Hultén,,US06
DRFI2,,Dryopteris filix-mas (L.) Schott,male fern,US06
DUCHE,,Duchesnea Sm.,duchesnea,US06
DUIN2,POIN5,Potentilla indica (Andrews) Th. Wolf,,US06
DUIN2,FRIN2,Fragaria indica Andrews,,US06
DUIN2,,Duchesnea indica (Andrews) Teschem.,Indian strawberry,US06
DUIN2,DUIN,"Duchesnea indica (Andrews) Focke, nom. illeg.",,US06
DUDLE,,Dudleya Britton & Rose,dudleya,US06
DUAB,,Dudleya abramsii Rose,Abrams' liveforever,US06
DUABA,,Dudleya abramsii Rose ssp. abramsii,Abrams' liveforever,US06
DUABA2,,Dudleya abramsii Rose ssp. affinis K.M. Nakai,San Bernardino Mountains liveforever,US06
DUABB,DUBE,Dudleya bettinae Hoover,,US06
DUABB,,Dudleya abramsii Rose ssp. bettinae (Hoover) Bartel,San Luis Obispo serpentine dudleya,US06
DUABM,,Dudleya abramsii Rose ssp. murina (Eastw.) Moran,San Luis Obispo dudleya,US06
DUABP,,Dudleya abramsii Rose ssp. parva (Rose & Davidson) Bartel,Conejo dudleya,US06
DUABP,DUPA,Dudleya parva Rose & Davidson,,US06
DUAT,,Dudleya attenuata (S. Watson) Moran,tapertip liveforever,US06
DUATO,STPA11,Stylophyllum parishii Britton,,US06
DUATO,,Dudleya attenuata (S. Watson) Moran ssp. orcuttii (Rose) Moran,Orcutt's liveforever,US06
DUATO,STOR2,Stylophyllum orcuttii Rose,,US06
DUBL,,Dudleya blochmaniae (Eastw.) Moran,Blochman's liveforever,US06
DUBLB,,Dudleya blochmaniae (Eastw.) Moran ssp. blochmaniae,Blochman's liveforever,US06
DUBLB,HABL4,Hasseanthus blochmaniae (Eastw.) Rose,,US06
DUBLB2,DUBR,Dudleya brevifolia (Moran) Moran,,US06
DUBLB2,,Dudleya blochmaniae (Eastw.) Moran ssp. brevifolia (Moran) Moran,shortleaf liveforever,US06
DUBLI,,Dudleya blochmaniae (Eastw.) Moran ssp. insularis (Moran) Moran,Blochman's liveforever,US06
DUCA4,DUCO3,Dudleya cotyledon (Jacq.) Britton & Rose,,US06
DUCA4,,Dudleya caespitosa (Haw.) Britton & Rose,sealettuce,US06
DUCA4,DUCE,"Dudleya cespitosa (Haw.) Britton & Rose, orth. var.",,US06
DUCA3,DUABC,Dudleya abramsii Rose ssp. calcicola (Bartel & Shevock) K.M. Nakai,,US06
DUCA3,,Dudleya calcicola Bartel & Shevock,limestone liveforever,US06
DUCA2,,Dudleya candelabrum Rose,candleholder liveforever,US06
DUCY,,Dudleya cymosa (Lem.) Britton & Rose,canyon liveforever,US06
DUCYA,,Dudleya cymosa (Lem.) Britton & Rose ssp. agourensis K.M. Nakai,canyon liveforever,US06
DUCYC,,Dudleya cymosa (Lem.) Britton & Rose ssp. costafolia Bartel & Shevock,Pierpoint Springs dudleya,US06
DUCYC2,,Dudleya cymosa (Lem.) Britton & Rose ssp. crebrifolia K.M. Nakai & Verity,San Gabriel River dudleya,US06
DUCYC3,,Dudleya cymosa (Lem.) Britton & Rose ssp. cymosa,canyon liveforever,US06
DUCYC3,DUAN,Dudleya angustiflora Rose,,US06
DUCYC3,ECCY,Echeveria cymosa Lem.,,US06
DUCYC3,DUGI,Dudleya gigantea Rose,,US06
DUCYC3,DUCYG,Dudleya cymosa (Lem.) Britton & Rose ssp. gigantea (Rose) Moran,,US06
DUCYC3,DUNE2,Dudleya nevadensis (S. Watson) Britton & Rose,,US06
DUCYC3,DULA5,Dudleya laxa (Lindl.) Britton & Rose,,US06
DUCYM,,Dudleya cymosa (Lem.) Britton & Rose ssp. marcescens Moran,marcescent dudleya,US06
DUCYO,,Dudleya cymosa (Lem.) Britton & Rose ssp. ovatifolia (Britton) Moran,Santa Monica Mountains dudleya,US06
DUCYP,,Dudleya cymosa (Lem.) Britton & Rose ssp. paniculata (Jeps.) K.M. Nakai,canyon liveforever,US06
DUCYP,ECDI,Echeveria diaboli A. Berger,,US06
DUCYP,DUHU,Dudleya humilis Rose,,US06
DUCYP2,,Dudleya cymosa (Lem.) Britton & Rose ssp. pumila K.M. Nakai,canyon liveforever,US06
DUDE2,,Dudleya densiflora (Rose) Moran,San Gabriel Mountains liveforever,US06
DUDE2,STNU3,Stylophyllum nudicaule Abrams,,US06
DUED,,Dudleya edulis (Nutt.) Moran,fingertips,US06
DUED,STED2,Stylophyllum edule (Nutt.) Britton & Rose,,US06
DUFA,DUCO4,Dudleya compacta Rose,,US06
DUFA,,Dudleya farinosa (Lindl.) Britton & Rose,powdery liveforever,US06
DUFA,DUEA,Dudleya eastwoodiae Rose,,US06
DUFA,DUSE2,Dudleya septentrionalis Rose,,US06
DUGN,,Dudleya gnoma S. McCabe,munchkin liveforever,US06
DUGR,,Dudleya greenei Rose,Greene's liveforever,US06
DULA,DUGO,Dudleya goldmanii Rose,,US06
DULA,DUCYM2,Dudleya cymosa (Lem.) Britton & Rose ssp. minor (Rose) Moran,,US06
DULA,,Dudleya lanceolata (Nutt.) Britton & Rose,lanceleaf liveforever,US06
DULA,DULU,Dudleya lurida Rose,,US06
DULA,DUBR2,Dudleya brauntonii Rose,,US06
DULA,DUCO5,Dudleya congesta Rose,,US06
DULA,DUNEM,Dudleya nevadensis (S. Watson) Britton & Rose ssp. minor (Rose) Abrams,,US06
DUMU,,Dudleya multicaulis (Rose) Moran,manystem liveforever,US06
DUMU,HAEL3,Hasseanthus elongatus Rose,,US06
DUNE,,Dudleya nesiotica (Moran) Moran,Santa Cruz Island liveforever,US06
DUPA2,,Dudleya palmeri (S. Watson) Britton & Rose,Palmer's liveforever,US06
DUPU,,Dudleya pulverulenta (Nutt.) Britton & Rose,chalk dudleya,US06
DUPUA2,ECPUA2,Echeveria pulverulenta Nutt. ssp. arizonica (Rose) Clokey,,US06
DUPUA2,,Dudleya pulverulenta (Nutt.) Britton & Rose ssp. arizonica (Rose) Moran,chalk dudleya,US06
DUPUA2,DUPUA,Dudleya pulverulenta (Nutt.) Britton & Rose var. arizonica (Rose) S.L. Welsh,,US06
DUPUA2,DUAR2,Dudleya arizonica Rose,,US06
DUPUA2,ECAR,Echeveria arizonica (Rose) Kearney & Peebles,,US06
DUPUP,,Dudleya pulverulenta (Nutt.) Britton & Rose ssp. pulverulenta,chalk dudleya,US06
DUPUP,ECPU3,Echeveria pulverulenta Nutt.,,US06
DUSA,,Dudleya saxosa (M.E. Jones) Britton & Rose,Panamint liveforever,US06
DUSAA,DUAL,Dudleya alainiae Reiser,,US06
DUSAA,DUDE4,Dudleya delicata Rose,,US06
DUSAA,,Dudleya saxosa (M.E. Jones) Britton & Rose ssp. aloides (Rose) Moran,Panamint liveforever,US06
DUSAA,DUGR3,Dudleya grandiflora Rose,,US06
DUSAS,,Dudleya saxosa (M.E. Jones) Britton & Rose ssp. saxosa,Panamint liveforever,US06
DUSE,DUABS,Dudleya abramsii Rose ssp. setchellii (Jeps.) Moran,,US06
DUSE,,Dudleya setchellii (Jeps.) Britton & Rose,Santa Clara Valley liveforever,US06
DUSE,DUCYS,Dudleya cymosa (Lem.) Britton & Rose ssp. setchellii (Jeps.) Moran,,US06
DUST,,Dudleya stolonifera Moran,Laguna Beach liveforever,US06
DUTR,STTR6,Stylophyllum traskiae Rose,,US06
DUTR,,Dudleya traskiae (Rose) Moran,Santa Barbara Island liveforever,US06
DUVA,,Dudleya variegata (S. Watson) Moran,variegated liveforever,US06
DUVA,HAVA2,Hasseanthus variegatus (S. Watson) Rose,,US06
DUVE,,Dudleya verityi K.M. Nakai,Verity's liveforever,US06
DUVI,,Dudleya virens (Rose) Moran,bright green dudleya,US06
DUVIH,STHA3,Stylophyllum hassei Rose,,US06
DUVIH,DUHA,Dudleya hassei (Rose) Moran,,US06
DUVIH,,Dudleya virens (Rose) Moran ssp. hassei,bright green dudleya,US06
DUVII,,Dudleya virens (Rose) Moran ssp. insularis,bright green dudleya,US06
DUVII,STIN8,Stylophyllum insulare Rose,,US06
DUVIV,,Dudleya virens (Rose) Moran ssp. virens,bright green dudleya,US06
DUVIV,STAL7,Stylophyllum albidum Rose,,US06
DUVIV,STVI12,Stylophyllum virens Rose,,US06
DUVI2,,Dudleya viscida (S. Watson) Moran,sticky liveforever,US06
DUVI2,STVI9,Stylophyllum viscidum (S. Watson) Britton & Rose,,US06
DULIC,,Dulichium Pers.,dulichium,US06
DUAR3,,Dulichium arundinaceum (L.) Britton,three-way sedge,US06
DUARA,,Dulichium arundinaceum (L.) Britton var. arundinaceum,three-way sedge,US06
DURAN,,Duranta L.,duranta,US06
DUER,DUERA,Duranta erecta L. var. alba (Masters) Caro,,US06
DUER,,Duranta erecta L.,golden dewdrops,US06
DUER,DURE,Duranta repens L.,,US06
DUER,DUREA,Duranta repens L. var. alba (Masters) L.H. Bailey,,US06
DUER,DUREM,Duranta repens L. var. microphylla (Desf.) Moldenke,,US06
DYSPH,,Dysphania R. Br.,dysphania,US06
DYAM,AMAM6,Ambrina ambrosioides (L.) Spach,,US06
DYAM,,Dysphania ambrosioides (L.) Mosyakin & Clemants,Mexican tea,US06
DYAM,CHAM,Chenopodium ambrosioides L.,,US06
DYAM,CHAME,Chenopodium ambrosioides L. ssp. euambrosioides Aellen,,US06
DYAM,CHAMO2,Chenopodium ambrosioides L. var. obovatum Speg.,,US06
DYAM,CHAMV,Chenopodium ambrosioides L. var. vagans (Standl.) J.T. Howell,,US06
DYAM,CHAMA16,Chenopodium ambrosioides L. var. ambrosioides,,US06
DYAM,CHAMT,Chenopodium ambrosioides L. var. typicum (Speg.) Aellen,,US06
DYAM,CHOB9,Chenopodium obovatum Moq.,,US06
DYAM,CHAMC,Chenopodium ambrosioides L. var. chilense (Schrad.) Speg.,,US06
DYAM,CHRE8,Chenopodium retusum Juss. ex Moq.,,US06
DYAM,CHAMS,Chenopodium ambrosioides L. var. suffruticosum (Willd.) Asch. & Graebn.,,US06
DYAM,TEAM3,Teloxys ambrosioides (L.) W.A. Weber,,US06
DYAM,TEVA,Teloxys vagans (Standl.) W.A. Weber,,US06
DYAN2,,Dysphania anthelmintica (L.) Mosyakin & Clemants,wormseed,US06
DYAN2,CHAMA13,"Chenopodium ambrosioides L. var. anthelminticum (L.) Aellen, nom. illeg.",,US06
DYAN2,CHAMA14,Chenopodium ambrosioides L. var. anthelminticum (L.) A. Gray,,US06
DYAN2,CHAN4,Chenopodium anthelminticum L.,,US06
DYBO,BOBO2,Botrydium botrys (L.) Small,,US06
DYBO,,Dysphania botrys (L.) Mosyakin & Clemants,Jerusalem oak goosefoot,US06
DYBO,CHBO2,Chenopodium botrys L.,,US06
DYBO,TEBO2,Teloxys botrys (L.) W.A. Weber,,US06
DYCH,,Dysphania chilensis (Schrad.) Mosyakin & Clemants,Chilean wormseed,US06
DYCH,CHCH6,Chenopodium chilense Schrad.,,US06
DYMU,,Dysphania multifida (L.) Mosyakin & Clemants,cutleaf goosefoot,US06
DYMU,ROMU4,Roubieva multifida (L.) Moq.,,US06
DYMU,CHMU,Chenopodium multifidum L.,,US06
DYMU,TEMU3,Teloxys multifida (L.) W.A. Weber,,US06
DYPU,CHPU,Chenopodium pumilio R. Br.,,US06
DYPU,,Dysphania pumilio (R. Br.) Mosyakin & Clemants,clammy goosefoot,US06
DYPU,CHCA23,Chenopodium carinatum auct. non R. Br.,,US06
DYPU,TEPU3,Teloxys pumilio (R. Br.) W.A. Weber,,US06
DYSSO,,Dyssodia Cav.,dyssodia,US06
DYPA,,Dyssodia papposa (Vent.) Hitchc.,fetid marigold,US06
DYPA,BOPA8,Boebera papposa (Vent.) Rydb. ex Britton,,US06
DYPA,TAPA8,Tagetes papposa Vent.,,US06
EASTW,,Eastwoodia Brandegee,eastwoodia,US06
EAEL,,Eastwoodia elegans Brandegee,yellow aster,US06
EATON,,Eatonella A. Gray,eatonella,US06
EANI,,Eatonella nivea (D.C. Eaton) A. Gray,white false tickhead,US06
ECHIN2,,Echinocactus Link & Otto,echinocactus,US06
ECPO2,,Echinocactus polycephalus Engelm. & J.M. Bigelow,cottontop cactus,US06
ECPOP,,Echinocactus polycephalus Engelm. & J.M. Bigelow var. polycephalus,cottontop cactus,US06
ECHIN3,,Echinocereus Engelm.,hedgehog cactus,US06
ECCO5,,Echinocereus coccineus Engelm.,scarlet hedgehog cactus,US06
ECCOC,ECTRI,Echinocereus triglochidiatus Engelm. var. inermis (K. Schum.) Arp,,US06
ECCOC,COVIA3,Coryphantha vivipara (Nutt.) Britton & Rose var. aggregata (Engelm.) W.T. Marshall,,US06
ECCOC,ECTRO,Echinocereus triglochidiatus Engelm. var. octacanthus (Muehlenpf.) W.T. Marshall,,US06
ECCOC,,Echinocereus coccineus Engelm. var. coccineus,scarlet hedgehog cactus,US06
ECCOC,ECCOI,Echinocereus coccineus Engelm. var. inermis (K. Schum.) J.A. Purpus,,US06
ECCOC,ECCOC2,"Echinocereus coccineus Engelm. var. conoideus (Engelm.) D. Weniger, nom. nud.",,US06
ECCOC,ECTRH,Echinocereus triglochidiatus Engelm. var. hexaedrus (Engelm.) Boissev. & C. Davidson,,US06
ECCOC,ECOC2,Echinocereus octacanthus (Muehlenpf.) Britton & Rose,,US06
ECCOC,ECTRM,Echinocereus triglochidiatus Engelm. var. melanacanthus (Engelm.) L.D. Benson,,US06
ECCOC,ECPOR,"Echinocereus polyacanthus Engelm. var. rosei (Wooton & Standl.) D. Weniger, nom. nud.",,US06
ECCOC,MAAG2,Mammillaria aggregata Engelm.,,US06
ECEN,,Echinocereus engelmannii (Parry ex Engelm.) Lem.,Engelmann's hedgehog cactus,US06
ECENA,,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. acicularis L.D. Benson,Engelmann's hedgehog cactus,US06
ECENA2,,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. armatus L.D. Benson,Engelmann's hedgehog cactus,US06
ECENC,,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. chrysocentrus (Engelm. & J.M. Bigelow) Rümpler,Engelmann's hedgehog cactus,US06
ECENE,,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. engelmannii,Engelmann's hedgehog cactus,US06
ECENH,,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. howei L.D. Benson,Howe's hedgehog cactus,US06
ECENM,ECMU3,Echinocereus munzii (Parish) L.D. Benson,,US06
ECENM,,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. munzii (Parish) Pierce & Fosberg,Munz's hedgehog cactus,US06
ECMO,ECTRM2,Echinocereus triglochidiatus Engelm. var. mojavensis (Engelm. & J.M. Bigelow) L.D. Benson,,US06
ECMO,,Echinocereus mojavensis (Engelm. & J.M. Bigelow) Rümpler,Mojave kingcup cactus,US06
ECHIN4,,Echinochloa P. Beauv.,cockspur grass,US06
ECCO2,PACO30,Panicum colonum L.,,US06
ECCO2,,Echinochloa colona (L.) Link,jungle rice,US06
ECCR,ECCRS,Echinochloa crus-galli (L.) P. Beauv. ssp. spiralis (Vasinger) Tzvelev,,US06
ECCR,PACR4,Panicum crus-galli L.,,US06
ECCR,,Echinochloa crus-galli (L.) P. Beauv.,barnyardgrass,US06
ECCR2,,Echinochloa crus-pavonis (Kunth) Schult.,gulf cockspur grass,US06
ECCRC2,OPCR2,Oplismenus crus-pavonis Kunth,,US06
ECCRC2,,Echinochloa crus-pavonis (Kunth) Schult. var. crus-pavonis,gulf cockspur grass,US06
ECCRM,,Echinochloa crus-pavonis (Kunth) Schult. var. macera (Wiegand) Gould,gulf cockspur grass,US06
ECCRM,ECZE,Echinochloa zelayensis (Kunth) Schult.,,US06
ECCRM,ECCRZ2,Echinochloa crus-galli (L.) P. Beauv. var. zelayensis (Kunth) Hitchc.,,US06
ECES,,Echinochloa esculenta (A. Braun) H. Scholz,Japanese millet,US06
ECES,ECUT,Echinochloa utilis Ohwi & Yab.,,US06
ECFR,ECCRE2,Echinochloa crus-galli (L.) P. Beauv. ssp. edulis Hitchc.,,US06
ECFR,ECCRF,Echinochloa crus-galli (L.) P. Beauv. var. frumentacea (Roxb.) W. Wight,,US06
ECFR,,Echinochloa frumentacea Link,billion-dollar grass,US06
ECFR,PAFR4,"Panicum frumentaceum Roxb., non Salisb.",,US06
ECMU2,,Echinochloa muricata (P. Beauv.) Fernald,rough barnyardgrass,US06
ECMUM,ECMUW,Echinochloa muricata (P. Beauv.) Fernald var. wiegandii Fassett,,US06
ECMUM,,Echinochloa muricata (P. Beauv.) Fernald var. microstachya Wiegand,rough barnyardgrass,US06
ECMUM,ECMUM3,Echinochloa muricata (P. Beauv.) Fernald ssp. microstachya (Wiegand) Jauzein,,US06
ECMUM,ECCRM2,Echinochloa crus-galli (L.) P. Beauv. var. mitis (Pursh) Peterm.,,US06
ECMUM,ECPUM2,Echinochloa pungens (Poir.) Rydb. var. multiflora (Wiegand) Fernald & Grisc.,,US06
ECMUM,ECMI,Echinochloa microstachya (Wiegand) Rydb.,,US06
ECMUM,ECPUM,Echinochloa pungens (Poir.) Rydb. var. microstachya (Wiegand) Fernald & Grisc.,,US06
ECMUM,ECMUO,Echinochloa muricata (P. Beauv.) Fernald var. occidentalis Wiegand,,US06
ECMUM,ECOC,Echinochloa occidentalis (Wiegand) Rydb.,,US06
ECMUM,ECWI3,Echinochloa wiegandii (Fassett) McNeill & Dore,,US06
ECMUM2,ECPUL3,Echinochloa pungens (Poir.) Rydb. var. ludoviciana (Wiegand) Fernald & Grisc.,,US06
ECMUM2,,Echinochloa muricata (P. Beauv.) Fernald var. muricata,rough barnyardgrass,US06
ECMUM2,ECMUL,Echinochloa muricata (P. Beauv.) Fernald var. ludoviciana Wiegand,,US06
ECMUM2,ECPU4,Echinochloa pungens (Poir.) Rydb.,,US06
ECMUM2,ECPUC,Echinochloa pungens (Poir.) Rydb. var. coarctata Fernald & Grisc.,,US06
ECOR,,Echinochloa oryzoides (Ard.) Fritsch,early water grass,US06
ECPH,ECORM,Echinochloa oryzicola (Vasinger) Vasinger var. mutica Vasinger,,US06
ECPH,ECCRO,Echinochloa crus-galli (L.) P. Beauv. var. oryzicola (Vasinger) Ohwi,,US06
ECPH,,Echinochloa phyllopogon (Stapf) Koso-Pol.,rice barnyardgrass,US06
ECPH,ECOR2,Echinochloa oryzicola (Vasinger) Vasinger,,US06
ECHIN6,,Echinodorus Rich. ex Engelm.,burhead,US06
ECBE2,,Echinodorus berteroi (Spreng.) Fassett,upright burhead,US06
ECBE2,ECRO,Echinodorus rostratus (Nutt.) Engelm.,,US06
ECBE2,ECBEL,Echinodorus berteroi (Spreng.) Fassett var. lanceolatus (Engelm. ex S. Watson & J.M. Coult.) Fassett,,US06
ECBE2,ECROL,Echinodorus rostratus (Nutt.) Engelm. var. lanceolatus Engelm. ex S. Watson & J.M. Coult.,,US06
ECHIN13,,Echinomastus Britton & Rose,fishhook cactus,US06
ECJO3,NEJOL,Neolloydia johnsonii (Parry ex Engelm.) L.D. Benson var. lutescens (Parish) W.T. Marshall ex R.G. Engard,,US06
ECJO3,,Echinomastus johnsonii (Parry ex Engelm.) E.M. Baxter,Johnson's fishhook cactus,US06
ECJO3,ECJO2,Echinocactus johnsonii Parry ex Engelm.,,US06
ECJO3,NEJO,Neolloydia johnsonii (Parry ex Engelm.) L.D. Benson,,US06
ECJO3,ECJOL,Echinocactus johnsonii Parry ex Engelm. var. lutescens Parish,,US06
ECJO3,SCJO,Sclerocactus johnsonii (Parry ex Engelm.) N.P. Taylor,,US06
ECHIN8,,Echinops L.,globethistle,US06
